id,Region,Rooms,Area,Price,Street,Zip,City,Latitude,Longitude
16575,Neuenburg,5.0,115,2090,Rue de Maillefer 20,2000,Neuchatel,46.98674011230469,6.908586025238037
16576,Neuenburg,5.0,115,2090,Rue de Maillefer 20,2000,Neuchatel,46.98674011230469,6.908586025238037
16577,Neuenburg,5.0,115,1790,Rue de la Charriere 24,2300,La Chaux-de-Fonds,47.10843276977539,6.831502437591553
16578,Neuenburg,3.0,75,1723,Verger l'Ecuyer 8,2068,Hauterive NE,47.01578140258789,6.974776744842529
16579,Neuenburg,4.5,86,1460,Rue de la Croix-Federale 46,2300,La Chaux-de-Fonds,47.10517501831055,6.843302249908447
16580,Neuenburg,5.0,115,1690,Rue de la Charriere 24,2300,La Chaux-de-Fonds,47.10843276977539,6.831502437591553
16583,Neuenburg,4.0,86,1650,Fahys 147,2000,Neuchatel,47.00129318237305,6.94572639465332
16591,Neuenburg,4.5,85,1200,Rue Combe-Grieurin 39B,2300,La Chaux-de-Fonds,47.10124588012695,6.817431449890137
16593,Neuenburg,3.5,84,1440,Rue de l'Industrie 16,2300,La Chaux-de-Fonds,47.10622787475586,6.832108974456787
16594,Neuenburg,2.5,86,3500,Place Pury 13,2000,Neuchatel,46.989479064941406,6.9290642738342285
16595,Neuenburg,2.5,49,2500,Place Pury 13,2000,Neuchatel,46.989479064941406,6.9290642738342285
16596,Neuenburg,2.5,80,3300,Place Pury 13,2000,Neuchatel,46.989479064941406,6.9290642738342285
16598,Neuenburg,3.0,85,1070,Rue de l'Industrie 12,2300,La Chaux-de-Fonds,47.105995178222656,6.831729412078857
16599,Neuenburg,3.0,72,950,Rue de l'Industrie 12,2300,La Chaux-de-Fonds,47.105995178222656,6.831729412078857
16602,Neuenburg,1.0,10,530,Rue A. -L-Breguet 14,2000,Neuchatel,,
16603,Neuenburg,2.5,58,1050,Rue Combe-Grieurin 39B,2300,La Chaux-de-Fonds,47.10124588012695,6.817431449890137
16607,Neuenburg,5.0,115,2090,rue de Maillefer 20,2000,Neuchatel,46.98674011230469,6.908586025238037
16608,Neuenburg,6.5,122,2582,Rue des Fahys 93,2000,Neuchatel,47.00034713745117,6.943986892700195
