"id","Region","Rooms","Area","Price","Street","Zip","City"
6112,Basel-Stadt,"2","55","1750",Hegenheimerstrasse 120,"4055",Basel
6113,Basel-Stadt,"3.5","114","2990",Engelgasse 79,"4052",Basel
6114,Basel-Stadt,"2.5","78","1530",Schutzengasse 34,"4125",Riehen
6115,Basel-Stadt,"1","34","990",Guterstrasse 138,"4053",Basel
6116,Basel-Stadt,"5","153","3105",Schertlingasse 4,"4051",Basel
6117,Basel-Stadt,"4","120","2495",Hirzbodenweg 5,"4052",Basel
6118,Basel-Stadt,"2","52","1495",Davidsbodenstrasse 32,"4056",Basel
6119,Basel-Stadt,"3.5","105","2730",Rumelinsplatz 7,"4001",Basel
6120,Basel-Stadt,"2","45","1140",Horburgstrasse 86,"4057",Basel
6121,Basel-Stadt,"3","80","2150",Oetlingerstrasse 161,"4057",Basel
6122,Basel-Stadt,"2.5","53","1890",Guterstrasse 321,"4053",Basel
6123,Basel-Stadt,"3","70","1715",Schwarzwaldallee 101,"4058",Basel
6124,Basel-Stadt,"3","102","2185",St. Johanns-Vorstadt 51,"4056",Basel
6125,Basel-Stadt,"1.5","23","960",Blasiring 104,"4057",Basel
6126,Basel-Stadt,"2.5","74","1635",Riehenstrasse 39,"4058",Basel
6127,Basel-Stadt,"1","34","890",Missionsstrasse 38,"4055",Basel
6128,Basel-Stadt,"1.5","28","1142",Klybeckstrasse 190,"4057",Basel
6129,Basel-Stadt,"2.5","74","1860",Adlerstrasse 23,"4052",Basel
6130,Basel-Stadt,"3.5","86","1980",Guterstrasse 180,"4053",Basel
6131,Basel-Stadt,"1.5","38","880",Wiesenstrasse 14,"4057",Basel
6132,Basel-Stadt,"2","50","1610",Vogesenstrasse 135/2,"4056",Basel
6133,Basel-Stadt,"4.5","90","2329",Belforterstrasse 144,"4055",Basel
6134,Basel-Stadt,"3.5","125","2710",St. Jakobs-Strasse 92,"4052",Basel
6135,Basel-Stadt,"4","163","3350",Jacob Burckhardt-Strasse 61,"4052",Basel
6136,Basel-Stadt,"1.5","31","950",Achilles-Bischoff-Strasse 2,"4053",Basel
6137,Basel-Stadt,"3.5","62","2130",Blasiring 96,"4057",Basel
6138,Basel-Stadt,"4.5","106","2750",Lehenmattstrasse 305,"4052",Basel
6139,Basel-Stadt,"4","93","1880",Wiesenstrasse 2,"4057",Basel
6140,Basel-Stadt,"3","62","1470",Flachslanderstrasse 7,"4057",Basel
6141,Basel-Stadt,"2","47","1520",Haltingerstrasse 59,"4057",Basel
6142,Basel-Stadt,"1","28","1070",Haltingerstrasse 59,"4057",Basel
6143,Basel-Stadt,"2","51","1232",Blaesiring 49,"4057",Basel
6144,Basel-Stadt,"3.5","99","1985",Klingental 1,"4058",Basel
6145,Basel-Stadt,"3","80","1995",Clarastr. 2,"4058",Basel
6146,Basel-Stadt,"3.5","81","2198",Malzgasse 10,"4052",Basel
6147,Basel-Stadt,"3.5","81","2240",Malzgasse 10,"4052",Basel
6148,Basel-Stadt,"2.5","61","1400",Herrengrabenweg 55,"4054",Basel
6150,Basel-Stadt,"2","48","2625",Pfluggasslein 14,"4001",Basel
6152,Basel-Stadt,"3.5","66","2380",An der hohlen Gasse 14,"4058",Basel
6153,Basel-Stadt,"3","71","1655",Gotenstrasse 20,"4125",Riehen
6154,Basel-Stadt,"4.5","136","4600",Friedrichstrasse 12,"4055",Basel
6155,Basel-Stadt,"2.5","70","1450",Davidsbodenstrasse 37,"4056",Basel
6156,Basel-Stadt,"1","43","1085",Hochstrasse 65,"4053",Basel
6157,Basel-Stadt,"2","64","1295",Grenzacherstrasse 231,"4058",Basel
6159,Basel-Stadt,"2","53","1265",Spalentorweg 8 (Vorderhaus A),"4051",Basel
6160,Basel-Stadt,"2.5","76","2400",Froburgstrasse 20,"4052",Basel
6161,Basel-Stadt,"3.5","70","1860",Baumlihofstrasse 181,"4058",Basel
6162,Basel-Stadt,"3","69","1850",Baumlihofstrasse 187,"4058",Basel
6163,Basel-Stadt,"3.5","104","2260",Erlenmattweg 11,"4058",Basel
6164,Basel-Stadt,"2","48","1260",Elsasserstr. 51,"4056",Basel
6165,Basel-Stadt,"4","76","1700",Markircherstrasse 52,"4055",Basel
6166,Basel-Stadt,"3.5","73","1760",Spalentorweg 6 (Hinterhaus B),"4051",Basel
6167,Basel-Stadt,"4.5","150","5020",Gellertstrasse 47,"4052",Basel
6169,Basel-Stadt,"2","52","1490",Schweizergasse 49,"4054",Basel
